"art","a_label","subj1","subj3","subj4","subj5"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000217","busto ritratto di Michele Bertrando (monumento funebre - a edicola, opera isolata) - bottega Italia settentrionale (seconda metà sec. XVI)","https://w3id.org/arco/resource/Subject/589e4c3223ccc484ad02dbc031911d5c","61 B 2 (BERTRANDO, Michele)","busto ritratto di Michele Bertrando","busto ritratto di Michele Bertrando"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000217","busto ritratto di Michele Bertrando (monumento funebre - a edicola, opera isolata) - bottega Italia settentrionale (seconda metà sec. XVI)","https://w3id.org/arco/resource/Subject/589e4c3223ccc484ad02dbc031911d5c","61 B 2 (BERTRANDO, Michele)","busto ritratto di Michele Bertrando","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000218","San Vincenzo Ferrer riporta alla vita un bambino (dipinto, opera isolata) by Barbetti Giuseppe Domenico (secondo quarto sec. XVIII)","https://w3id.org/arco/resource/Subject/b5666bb6a85b6b05a9bd0814b5c99885","11 H (VINCENZO FERRER) 51","San Vincenzo Ferrer riporta alla vita un bambino","San Vincenzo Ferrer riporta alla vita un bambino"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000218","San Vincenzo Ferrer riporta alla vita un bambino (dipinto, opera isolata) by Barbetti Giuseppe Domenico (secondo quarto sec. XVIII)","https://w3id.org/arco/resource/Subject/b5666bb6a85b6b05a9bd0814b5c99885","11 H (VINCENZO FERRER) 51","San Vincenzo Ferrer riporta alla vita un bambino","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000219","Cristo Crocifisso (croce d'altare, opera isolata) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo Crocifisso","Cristo Crocifisso"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000219","Cristo Crocifisso (croce d'altare, opera isolata) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/b0e007d436fa73a17ceff2f0c32c42e1","11 D 35","Cristo Crocifisso","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000219A","motivi decorativi vegetali stilizzati (candeliere d'altare, serie) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/c0735bcfb94d343ba18221e1ec0931ac","48 AA 98 3","motivi decorativi vegetali stilizzati","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000219A","motivi decorativi vegetali stilizzati (candeliere d'altare, serie) - ambito piemontese (sec. XVIII)","https://w3id.org/arco/resource/Subject/c0735bcfb94d343ba18221e1ec0931ac","48 AA 98 3","motivi decorativi vegetali stilizzati","motivi decorativi vegetali stilizzati"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000220","Madonna con i sette Santi fondatori dei Servi di Maria, Trinità e santi (dipinto, opera isolata) by Biscarra Giovanni Battista (sec. XIX)","https://w3id.org/arco/resource/Subject/5b59849716f20c25ba0d6b6565c5f312","11 B 32 : 11 F 3 : 11 H (...) : 11 H (PIETRO MARTIRE) : 11 P 31 5 (SERVI DI MARIA) : 11 P 31 5 (DOMENICANE)","Madonna con i sette Santi fondatori dei Servi di Maria, Trinità e santi","Madonna con i sette Santi fondatori dei Servi di Maria, Trinità e santi"
"https://w3id.org/arco/resource/HistoricOrArtisticProperty/0100000220","Madonna con i sette Santi fondatori dei Servi di Maria, Trinità e santi (dipinto, opera isolata) by Biscarra Giovanni Battista (sec. XIX)","https://w3id.org/arco/resource/Subject/5b59849716f20c25ba0d6b6565c5f312","11 B 32 : 11 F 3 : 11 H (...) : 11 H (PIETRO MARTIRE) : 11 P 31 5 (SERVI DI MARIA) : 11 P 31 5 (DOMENICANE)","Madonna con i sette Santi fondatori dei Servi di Maria, Trinità e santi","http://culturaitalia.it/pico/thesaurus/4.1#opere_d_arte_visiva"
