"art","subj1","subj1Label","constr","qualifier","qualifierLabel","subj2","subj2Label","subj3","subj3Label"
"http://www.wikidata.org/entity/Q20185471","http://www.wikidata.org/entity/Q51633","Last Supper","http://www.wikidata.org/prop/qualifier/P459","http://www.wikidata.org/entity/Q106429444","Metropolitan Museum of Art Tagging Initiative","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q36794","door","http://www.wikidata.org/prop/qualifier/P518","http://www.wikidata.org/entity/Q37105","line","http://www.wikidata.org/entity/Q242412","mobilization","61A(15.6.1815)(+1)","61A(15.6.1815)(+1)"
"http://www.wikidata.org/entity/Q220859","http://www.wikidata.org/entity/Q12994","Bruges","none","none","none","http://www.wikidata.org/entity/Q721857","Giovanni Arnolfini","34B11","34B11"
"http://www.wikidata.org/entity/Q220859","http://www.wikidata.org/entity/Q15978441","coif","http://www.wikidata.org/prop/qualifier/P462","http://www.wikidata.org/entity/Q23444","white","http://www.wikidata.org/entity/Q17542312","Giovanna Cenami","34B11","34B11"
"http://www.wikidata.org/entity/Q3213855","http://www.wikidata.org/entity/Q40662","John the Baptist","none","none","none","http://www.wikidata.org/entity/Q691810","Visitation","73A623","73A623"
"http://www.wikidata.org/entity/Q3618178","http://www.wikidata.org/entity/Q345","Virgin Mary","none","none","none","http://www.wikidata.org/entity/Q154326","Annunciation","73A522","73A522"
"http://www.wikidata.org/entity/Q16564738","http://www.wikidata.org/entity/Q302","Jesus","none","none","none","http://www.wikidata.org/entity/Q217048","Baptism of Jesus","73C121","73C121"
"http://www.wikidata.org/entity/Q17320369","http://www.wikidata.org/entity/Q8502","mountain","none","none","none","http://www.wikidata.org/entity/Q63070","Mary Magdalene","25H11","25H11"
"http://www.wikidata.org/entity/Q19911483","http://www.wikidata.org/entity/Q345","Virgin Mary","http://www.wikidata.org/prop/qualifier/P459","http://www.wikidata.org/entity/Q106429444","Metropolitan Museum of Art Tagging Initiative","http://www.wikidata.org/entity/Q154326","Annunciation","73A521","73A521"
"http://www.wikidata.org/entity/Q44571395","http://www.wikidata.org/entity/Q210723","chalice","http://www.wikidata.org/prop/qualifier/P2677","pct:38.0688,47.5024,3.53401,10.2436","pct:38.0688,47.5024,3.53401,10.2436","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q1986098","standing","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","33C225","33C225"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q467","woman","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","45B32(+221)","45B32(+221)"
"http://www.wikidata.org/entity/Q326503","http://www.wikidata.org/entity/Q191851","vase","none","none","none","http://www.wikidata.org/entity/Q6649","lesbianism","41D92","41D92"
"http://www.wikidata.org/entity/Q22812884","http://www.wikidata.org/entity/Q568285","supper","none","none","none","http://www.wikidata.org/entity/Q51633","Last Supper","73D24","73D24"
"http://www.wikidata.org/entity/Q1056007","http://www.wikidata.org/entity/Q81989","Gabriel","none","none","none","http://www.wikidata.org/entity/Q154326","Annunciation","73A522","73A522"
"http://www.wikidata.org/entity/Q11821342","http://www.wikidata.org/entity/Q942467","Christ Child","none","none","none","http://www.wikidata.org/entity/Q1029715","Adoration of the shepherds","73B25(+3)","73B25(+3)"
"http://www.wikidata.org/entity/Q571122","http://www.wikidata.org/entity/Q8441","man","none","none","none","http://www.wikidata.org/entity/Q51628","Nativity of Jesus","73B13(+3)","73B13(+3)"
"http://www.wikidata.org/entity/Q3945928","http://www.wikidata.org/entity/Q8441","man","none","none","none","http://www.wikidata.org/entity/Q51625","Salvator Mundi","11D3221","11D3221"
"http://www.wikidata.org/entity/Q311243","http://www.wikidata.org/entity/Q8441","man","none","none","none","http://www.wikidata.org/entity/Q2548061","Wanderlust","25H11","25H11"
"http://www.wikidata.org/entity/Q19960406","http://www.wikidata.org/entity/Q202466","blond hair","none","none","none","http://www.wikidata.org/entity/Q5989722","Penitent Magdalene","11HH(MARY MAGDALENE)36","11HH(MARY MAGDALENE)36"
"http://www.wikidata.org/entity/Q2489939","http://www.wikidata.org/entity/Q942467","Christ Child","none","none","none","http://www.wikidata.org/entity/Q488841","Adoration of the Magi","34B11","34B11"
"http://www.wikidata.org/entity/Q326887","http://www.wikidata.org/entity/Q1986098","standing","none","none","none","http://www.wikidata.org/entity/Q242412","mobilization","45F41","45F41"
"http://www.wikidata.org/entity/Q1134250","http://www.wikidata.org/entity/Q10289","barrel","none","none","none","http://www.wikidata.org/entity/Q643474","massacre of the Innocents","73B633","73B633"
"http://www.wikidata.org/entity/Q3907503","http://www.wikidata.org/entity/Q467","woman","none","none","none","http://www.wikidata.org/entity/Q154326","Annunciation","11H(JOHN THE BAPTIST)","11H(JOHN THE BAPTIST)"
