art,subject1,subj_qualified,subject2,subject3
http://www.wikidata.org/entity/Q15974339,http://www.wikidata.org/entity/Q1058800 @ http://www.wikidata.org/entity/Q575 @ http://www.wikidata.org/entity/Q188641 @ http://www.wikidata.org/entity/Q152357 @ http://www.wikidata.org/entity/Q35509 @ http://www.wikidata.org/entity/Q843533 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q8074 @ http://www.wikidata.org/entity/Q527 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q10791 @ http://www.wikidata.org/entity/Q9103,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q10577188,http://www.wikidata.org/entity/Q236232 @ http://www.wikidata.org/entity/Q3441626 @ http://www.wikidata.org/entity/Q499 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q15324 @ http://www.wikidata.org/entity/Q527 @ http://www.wikidata.org/entity/Q35509 @ http://www.wikidata.org/entity/Q10791 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q602740 @ http://www.wikidata.org/entity/Q43801 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q1144593 @ http://www.wikidata.org/entity/Q152357 @ http://www.wikidata.org/entity/Q506 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q9103,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q4448822,http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q9604 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q571 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q1207302,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q9026835,http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q153126 @ http://www.wikidata.org/entity/Q9604 @ http://www.wikidata.org/entity/Q571 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q1358616,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q16589358,http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q9604 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q14130,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q11934553,http://www.wikidata.org/entity/Q10909316 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q9604,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q16589355,http://www.wikidata.org/entity/Q9604 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q63070,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q17322914,http://www.wikidata.org/entity/Q1358616 @ http://www.wikidata.org/entity/Q83772 @ http://www.wikidata.org/entity/Q26771 @ http://www.wikidata.org/entity/Q20460 @ http://www.wikidata.org/entity/Q35509 @ http://www.wikidata.org/entity/Q63070 @ http://www.wikidata.org/entity/Q467 @ http://www.wikidata.org/entity/Q4968244 @ http://www.wikidata.org/entity/Q9103 @ http://www.wikidata.org/entity/Q14130 @ http://www.wikidata.org/entity/Q200539,,http://www.wikidata.org/entity/Q5989722,11HH(MARY MAGDALENE)36
http://www.wikidata.org/entity/Q40432,http://www.wikidata.org/entity/Q2922016 @ http://www.wikidata.org/entity/Q148558 @ http://www.wikidata.org/entity/Q726 @ http://www.wikidata.org/entity/Q179226 @ http://www.wikidata.org/entity/Q374035 @ http://www.wikidata.org/entity/Q2196000 @ http://www.wikidata.org/entity/Q939883 @ http://www.wikidata.org/entity/Q40685808 @ http://www.wikidata.org/entity/Q128007 @ http://www.wikidata.org/entity/Q10884 @ http://www.wikidata.org/entity/Q148571 @ http://www.wikidata.org/entity/Q1232528 @ http://www.wikidata.org/entity/Q8441 @ http://www.wikidata.org/entity/Q109442873 @ http://www.wikidata.org/entity/Q8074,,http://www.wikidata.org/entity/Q40685808,46B11 @ 46C13141(PERCHERON)
http://www.wikidata.org/entity/Q2472983,http://www.wikidata.org/entity/Q302 @ http://www.wikidata.org/entity/Q8441,,http://www.wikidata.org/entity/Q51633,73D24
