art,subj1,subj1Label,constr,constrLabel,qualifier,qualifierLabel,subj2,subj2Label,subj3,subj3Label
http://www.wikidata.org/entity/Q17338390,http://www.wikidata.org/entity/Q11748378,vacca,http://www.wikidata.org/prop/qualifier/P1114,http://www.wikidata.org/prop/qualifier/P1114,6,6,http://www.wikidata.org/entity/Q2492329,Hendrik van de Sande Bakhuyzen,47I213,47I213
http://www.wikidata.org/entity/Q429752,http://www.wikidata.org/entity/Q43982,Bartolomeo,http://www.wikidata.org/prop/qualifier/P518,http://www.wikidata.org/prop/qualifier/P518,http://www.wikidata.org/entity/Q14565199,destra,http://www.wikidata.org/entity/Q370665,Sacra conversazione,11H(JOHN THE BAPTIST),11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q17338390,http://www.wikidata.org/entity/Q80151,cappello,http://www.wikidata.org/prop/qualifier/P1114,http://www.wikidata.org/prop/qualifier/P1114,1,1,http://www.wikidata.org/entity/Q2492329,Hendrik van de Sande Bakhuyzen,47I213,47I213
http://www.wikidata.org/entity/Q429752,http://www.wikidata.org/entity/Q40662,Giovanni Battista,http://www.wikidata.org/prop/qualifier/P518,http://www.wikidata.org/prop/qualifier/P518,http://www.wikidata.org/entity/Q13196750,sinistra,http://www.wikidata.org/entity/Q370665,Sacra conversazione,11H(JOHN THE BAPTIST),11H(JOHN THE BAPTIST)
http://www.wikidata.org/entity/Q40432,http://www.wikidata.org/entity/Q179226,equitazione,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q40685808,Paris horse market,46B11,46B11
http://www.wikidata.org/entity/Q40432,http://www.wikidata.org/entity/Q726,cavallo,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q40685808,Paris horse market,46B11,46B11
http://www.wikidata.org/entity/Q20185471,http://www.wikidata.org/entity/Q8441,uomo,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q51633,Ultima cena,73D24,73D24
http://www.wikidata.org/entity/Q20185471,http://www.wikidata.org/entity/Q51633,Ultima cena,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q51633,Ultima cena,73D24,73D24
http://www.wikidata.org/entity/Q20185471,http://www.wikidata.org/entity/Q43115,santo,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q51633,Ultima cena,73D24,73D24
http://www.wikidata.org/entity/Q40432,http://www.wikidata.org/entity/Q8441,uomo,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q40685808,Paris horse market,46B11,46B11
http://www.wikidata.org/entity/Q20200781,http://www.wikidata.org/entity/Q41425,balletto,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/prop/qualifier/P459,http://www.wikidata.org/entity/Q106429444,Metropolitan Museum of Art Tagging Initiative,http://www.wikidata.org/entity/Q51633,Ultima cena,73D24,73D24
